occurtime,power
2020-12-28_00:05:00,0.0
2020-12-28_00:10:00,99.2
2020-12-28_00:15:00,95.68
2020-12-28_00:20:00,93.2
2020-12-28_00:25:00,91.92
2020-12-28_00:30:00,90.48
2020-12-28_00:35:00,90.24
2020-12-28_00:40:00,88.64
2020-12-28_00:45:00,90.48
2020-12-28_00:50:00,89.36
2020-12-28_00:55:00,90.4
2020-12-28_01:00:00,88.16
2020-12-28_01:05:00,88.96
2020-12-28_01:10:00,89.04
2020-12-28_01:15:00,89.28
2020-12-28_01:20:00,88.88
2020-12-28_01:25:00,86.72
2020-12-28_01:30:00,88.4
2020-12-28_01:35:00,86.48
2020-12-28_01:40:00,87.44
2020-12-28_01:45:00,88.96
2020-12-28_01:50:00,88.32
2020-12-28_01:55:00,88.56
2020-12-28_02:00:00,90.48
2020-12-28_02:05:00,87.68
2020-12-28_02:10:00,0.0
2020-12-28_02:15:00,0.0
2020-12-28_02:20:00,0.0
2020-12-28_02:25:00,0.0
2020-12-28_02:30:00,0.0
2020-12-28_02:35:00,0.0
2020-12-28_02:40:00,100.24
2020-12-28_02:45:00,97.68
2020-12-28_02:50:00,95.12
2020-12-28_02:55:00,94.16
2020-12-28_03:00:00,91.52
2020-12-28_03:05:00,90.56
2020-12-28_03:10:00,93.28
2020-12-28_03:15:00,91.92
2020-12-28_03:20:00,90.8
2020-12-28_03:25:00,89.52
2020-12-28_03:30:00,89.28
2020-12-28_03:35:00,89.52
2020-12-28_03:40:00,89.12
2020-12-28_03:45:00,88.96
2020-12-28_03:50:00,89.68
2020-12-28_03:55:00,89.36
2020-12-28_04:00:00,89.52
2020-12-28_04:05:00,87.92
2020-12-28_04:10:00,88.24
2020-12-28_04:15:00,88.72
2020-12-28_04:20:00,88.24
2020-12-28_04:25:00,89.52
2020-12-28_04:30:00,89.04
2020-12-28_04:35:00,0.0
2020-12-28_04:40:00,0.0
2020-12-28_04:45:00,0.0
2020-12-28_04:50:00,0.0
2020-12-28_04:55:00,0.0
2020-12-28_05:00:00,0.0
2020-12-28_05:05:00,102.32
2020-12-28_05:10:00,98.96
2020-12-28_05:15:00,96.32
2020-12-28_05:20:00,94.88
2020-12-28_05:25:00,93.92
2020-12-28_05:30:00,93.28
2020-12-28_05:35:00,92.64
2020-12-28_05:40:00,92.4
2020-12-28_05:45:00,92.64
2020-12-28_05:50:00,91.04
2020-12-28_05:55:00,92.0
2020-12-28_06:00:00,91.12
2020-12-28_06:05:00,90.48
2020-12-28_06:10:00,90.4
2020-12-28_06:15:00,90.72
2020-12-28_06:20:00,90.8
2020-12-28_06:25:00,90.96
2020-12-28_06:30:00,91.36
2020-12-28_06:35:00,90.64
2020-12-28_06:40:00,90.32
2020-12-28_06:45:00,90.08
2020-12-28_06:50:00,90.0
2020-12-28_06:55:00,90.48
2020-12-28_07:00:00,0.0
2020-12-28_07:05:00,0.0
2020-12-28_07:10:00,0.0
2020-12-28_07:15:00,0.0
2020-12-28_07:20:00,0.0
2020-12-28_07:25:00,0.0
2020-12-28_07:30:00,104.56
2020-12-28_07:35:00,101.12
2020-12-28_07:40:00,98.4
2020-12-28_07:45:00,96.72
2020-12-28_07:50:00,95.6
2020-12-28_07:55:00,94.24
2020-12-28_08:00:00,93.68
2020-12-28_08:05:00,92.56
2020-12-28_08:10:00,92.48
2020-12-28_08:15:00,92.8
2020-12-28_08:20:00,92.88
2020-12-28_08:25:00,92.8
2020-12-28_08:30:00,92.64
2020-12-28_08:35:00,91.84
2020-12-28_08:40:00,91.68
2020-12-28_08:45:00,92.0
2020-12-28_08:50:00,90.32
2020-12-28_08:55:00,91.04
2020-12-28_09:00:00,91.76
2020-12-28_09:05:00,91.68
2020-12-28_09:10:00,91.76
2020-12-28_09:15:00,91.44
2020-12-28_09:20:00,91.04
2020-12-28_09:25:00,0.0
2020-12-28_09:30:00,0.0
2020-12-28_09:35:00,0.0
2020-12-28_09:40:00,0.0
2020-12-28_09:45:00,0.0
2020-12-28_09:50:00,0.0
2020-12-28_09:55:00,103.68
2020-12-28_10:00:00,99.6
2020-12-28_10:05:00,97.52
2020-12-28_10:10:00,96.16
2020-12-28_10:15:00,94.8
2020-12-28_10:20:00,93.84
2020-12-28_10:25:00,92.8
2020-12-28_10:30:00,92.48
2020-12-28_10:35:00,92.24
2020-12-28_10:40:00,92.16
2020-12-28_10:45:00,91.84
2020-12-28_10:50:00,91.44
2020-12-28_10:55:00,91.84
2020-12-28_11:00:00,91.68
2020-12-28_11:05:00,91.36
2020-12-28_11:10:00,90.56
2020-12-28_11:15:00,88.8
2020-12-28_11:20:00,89.44
2020-12-28_11:25:00,91.04
2020-12-28_11:30:00,91.04
2020-12-28_11:35:00,0.0
2020-12-28_11:40:00,0.0
2020-12-28_11:45:00,0.0
2020-12-28_11:50:00,0.0
2020-12-28_11:55:00,0.0
2020-12-28_12:00:00,0.0
2020-12-28_12:05:00,0.0
2020-12-28_12:10:00,103.04
2020-12-28_12:15:00,98.8
2020-12-28_12:20:00,96.32
2020-12-28_12:25:00,94.88
2020-12-28_12:30:00,94.4
2020-12-28_12:35:00,93.6
2020-12-28_12:40:00,93.52
2020-12-28_12:45:00,92.72
2020-12-28_12:50:00,92.0
2020-12-28_12:55:00,91.44
2020-12-28_13:00:00,91.52
2020-12-28_13:05:00,92.32
2020-12-28_13:10:00,92.8
2020-12-28_13:15:00,91.76
2020-12-28_13:20:00,90.72
2020-12-28_13:25:00,90.64
2020-12-28_13:30:00,90.88
2020-12-28_13:35:00,91.04
2020-12-28_13:40:00,0.0
2020-12-28_13:45:00,0.0
2020-12-28_13:50:00,0.0
2020-12-28_13:55:00,0.0
2020-12-28_14:00:00,0.0
2020-12-28_14:05:00,0.0
2020-12-28_14:10:00,103.12
2020-12-28_14:15:00,98.96
2020-12-28_14:20:00,96.24
2020-12-28_14:25:00,95.04
2020-12-28_14:30:00,93.84
2020-12-28_14:35:00,92.4
2020-12-28_14:40:00,92.4
2020-12-28_14:45:00,91.04
2020-12-28_14:50:00,89.68
2020-12-28_14:55:00,89.36
2020-12-28_15:00:00,90.72
2020-12-28_15:05:00,87.76
2020-12-28_15:10:00,89.36
2020-12-28_15:15:00,92.8
2020-12-28_15:20:00,92.48
2020-12-28_15:25:00,92.16
2020-12-28_15:30:00,92.08
2020-12-28_15:35:00,0.0
2020-12-28_15:40:00,0.0
2020-12-28_15:45:00,0.0
2020-12-28_15:50:00,0.0
2020-12-28_15:55:00,0.0
2020-12-28_16:00:00,0.0
2020-12-28_16:05:00,110.72
2020-12-28_16:10:00,102.64
2020-12-28_16:15:00,100.48
2020-12-28_16:20:00,98.8
2020-12-28_16:25:00,97.76
2020-12-28_16:30:00,97.28
2020-12-28_16:35:00,96.32
2020-12-28_16:40:00,95.6
2020-12-28_16:45:00,95.28
2020-12-28_16:50:00,95.2
2020-12-28_16:55:00,94.48
2020-12-28_17:00:00,93.36
2020-12-28_17:05:00,92.32
2020-12-28_17:10:00,92.24
2020-12-28_17:15:00,92.64
2020-12-28_17:20:00,91.04
2020-12-28_17:25:00,92.56
2020-12-28_17:30:00,92.88
2020-12-28_17:35:00,93.68
2020-12-28_17:40:00,0.0
2020-12-28_17:45:00,0.0
2020-12-28_17:50:00,0.0
2020-12-28_17:55:00,0.0
2020-12-28_18:00:00,0.0
2020-12-28_18:05:00,0.0
2020-12-28_18:10:00,104.32
2020-12-28_18:15:00,100.0
2020-12-28_18:20:00,96.48
2020-12-28_18:25:00,94.24
2020-12-28_18:30:00,92.56
2020-12-28_18:35:00,92.8
2020-12-28_18:40:00,93.04
2020-12-28_18:45:00,91.84
2020-12-28_18:50:00,92.0
2020-12-28_18:55:00,91.04
2020-12-28_19:00:00,91.04
2020-12-28_19:05:00,88.4
2020-12-28_19:10:00,89.6
2020-12-28_19:15:00,90.8
2020-12-28_19:20:00,88.8
2020-12-28_19:25:00,90.8
2020-12-28_19:25:00,90.8
2020-12-28_19:25:00,90.8
2020-12-28_19:25:00,90.8
2020-12-28_19:30:00,91.52
2020-12-28_19:35:00,90.96
2020-12-28_19:40:00,90.16
2020-12-28_19:45:00,0.0
2020-12-28_19:50:00,0.0
2020-12-28_19:55:00,0.0
2020-12-28_20:00:00,0.0
2020-12-28_20:05:00,0.0
2020-12-28_20:10:00,0.0
2020-12-28_20:15:00,0.0
2020-12-28_20:20:00,102.0
2020-12-28_20:25:00,97.44
2020-12-28_20:30:00,95.04
2020-12-28_20:35:00,93.84
2020-12-28_20:40:00,92.0
2020-12-28_20:45:00,91.2
2020-12-28_20:50:00,91.44
2020-12-28_20:55:00,91.28
2020-12-28_21:00:00,91.12
2020-12-28_21:05:00,91.28
2020-12-28_21:10:00,90.4
2020-12-28_21:15:00,89.76
2020-12-28_21:20:00,89.6
2020-12-28_21:25:00,89.6
2020-12-28_21:30:00,89.92
2020-12-28_21:35:00,88.24
2020-12-28_21:40:00,88.24
2020-12-28_21:45:00,89.28
2020-12-28_21:50:00,88.08
2020-12-28_21:55:00,87.84
2020-12-28_22:05:00,0.0
2020-12-28_22:10:00,0.0
2020-12-28_22:15:00,0.0
2020-12-28_22:20:00,0.0
2020-12-28_22:25:00,0.0
2020-12-28_22:30:00,0.0
2020-12-28_22:35:00,104.16
2020-12-28_22:40:00,99.2
2020-12-28_22:45:00,97.04
2020-12-28_22:50:00,95.36
2020-12-28_22:55:00,93.2
2020-12-28_23:00:00,92.08
2020-12-28_23:05:00,89.04
2020-12-28_23:10:00,89.28
2020-12-28_23:15:00,91.12
2020-12-28_23:20:00,91.04
2020-12-28_23:25:00,90.64
2020-12-28_23:30:00,90.4
2020-12-28_23:35:00,89.44
2020-12-28_23:40:00,89.44
2020-12-28_23:45:00,90.0
2020-12-28_23:50:00,89.76
2020-12-28_23:55:00,88.88
2020-12-29_00:00:00,88.16
2020-12-29_00:05:00,88.8
2020-12-29_00:10:00,89.28
2020-12-29_00:15:00,88.4
2020-12-29_00:20:00,89.68
2020-12-29_00:25:00,89.2
2020-12-29_00:30:00,89.2
2020-12-29_00:35:00,88.48
2020-12-29_00:40:00,88.8
2020-12-29_00:45:00,87.52
2020-12-29_00:50:00,88.0
2020-12-29_01:00:00,87.52
2020-12-29_01:05:00,0.0
2020-12-29_01:10:00,0.0
2020-12-29_01:15:00,0.0
2020-12-29_01:20:00,0.0
2020-12-29_01:25:00,0.0
2020-12-29_01:30:00,0.0
2020-12-29_01:35:00,0.0
2020-12-29_01:40:00,102.72
2020-12-29_01:45:00,99.12
2020-12-29_01:50:00,96.72
2020-12-29_01:55:00,94.48
2020-12-29_02:00:00,93.92
2020-12-29_02:05:00,93.6
2020-12-29_02:10:00,93.44
2020-12-29_02:15:00,93.28
2020-12-29_02:20:00,91.84
2020-12-29_02:25:00,91.28
2020-12-29_02:30:00,91.92
2020-12-29_02:35:00,91.68
2020-12-29_02:40:00,91.04
2020-12-29_02:45:00,91.52
2020-12-29_02:50:00,92.0
2020-12-29_02:55:00,91.6
2020-12-29_03:00:00,90.0
2020-12-29_03:05:00,91.04
2020-12-29_03:10:00,90.8
2020-12-29_03:15:00,90.64
2020-12-29_03:20:00,90.16
2020-12-29_03:25:00,89.92
2020-12-29_03:30:00,90.24
2020-12-29_03:35:00,90.96
2020-12-29_03:40:00,0.0
2020-12-29_03:45:00,0.0
2020-12-29_03:50:00,0.0
2020-12-29_03:55:00,0.0
2020-12-29_04:00:00,0.0
2020-12-29_04:05:00,0.0
2020-12-29_04:10:00,102.56
2020-12-29_04:15:00,100.0
2020-12-29_04:20:00,97.36
2020-12-29_04:25:00,96.24
2020-12-29_04:30:00,95.12
2020-12-29_04:35:00,93.92
2020-12-29_04:40:00,93.36
2020-12-29_04:45:00,93.28
2020-12-29_04:50:00,92.96
2020-12-29_04:55:00,93.04
2020-12-29_05:00:00,93.2
2020-12-29_05:05:00,91.6
2020-12-29_05:10:00,91.84
2020-12-29_05:15:00,91.76
2020-12-29_05:20:00,92.56
2020-12-29_05:25:00,92.56
2020-12-29_05:30:00,92.08
2020-12-29_05:35:00,89.36
2020-12-29_05:40:00,88.16
2020-12-29_05:45:00,87.76
2020-12-29_05:50:00,87.84
2020-12-29_05:55:00,87.12
2020-12-29_06:00:00,87.6
2020-12-29_06:05:00,87.2
2020-12-29_06:10:00,0.0
2020-12-29_06:15:00,0.0
2020-12-29_06:20:00,0.0
2020-12-29_06:25:00,0.0
2020-12-29_06:30:00,0.0
2020-12-29_06:35:00,0.0
2020-12-29_06:40:00,101.52
2020-12-29_06:45:00,98.56
2020-12-29_06:50:00,96.24
2020-12-29_06:55:00,94.88
2020-12-29_07:00:00,94.64
2020-12-29_07:05:00,94.48
2020-12-29_07:10:00,93.84
2020-12-29_07:15:00,92.88
2020-12-29_07:20:00,92.08
2020-12-29_07:25:00,90.72
2020-12-29_07:30:00,91.28
2020-12-29_07:35:00,91.92
2020-12-29_07:40:00,91.84
2020-12-29_07:45:00,90.88
2020-12-29_07:50:00,90.4
2020-12-29_07:55:00,90.88
2020-12-29_08:00:00,91.04
2020-12-29_08:05:00,90.96
2020-12-29_08:10:00,91.36
2020-12-29_08:15:00,91.36
2020-12-29_08:20:00,90.64
2020-12-29_08:25:00,90.48
2020-12-29_08:30:00,0.0
2020-12-29_08:35:00,0.0
2020-12-29_08:40:00,0.0
2020-12-29_08:45:00,0.0
2020-12-29_08:50:00,0.0
2020-12-29_08:55:00,0.0
2020-12-29_09:00:00,102.96
2020-12-29_09:05:00,100.16
2020-12-29_09:10:00,98.08
2020-12-29_09:15:00,95.76
2020-12-29_09:20:00,94.0
2020-12-29_09:25:00,93.68
2020-12-29_09:30:00,93.68
2020-12-29_09:35:00,93.76
2020-12-29_09:40:00,93.12
2020-12-29_09:45:00,92.56
2020-12-29_09:50:00,92.4
2020-12-29_09:55:00,91.6
2020-12-29_10:00:00,92.4
2020-12-29_10:05:00,92.08
2020-12-29_10:10:00,92.32
2020-12-29_10:15:00,91.92
2020-12-29_10:20:00,92.24
2020-12-29_10:25:00,91.12
2020-12-29_10:30:00,91.28
2020-12-29_10:35:00,91.44
2020-12-29_10:40:00,0.0
2020-12-29_10:45:00,0.0
2020-12-29_10:50:00,0.0
2020-12-29_10:55:00,0.0
2020-12-29_11:00:00,0.0
2020-12-29_11:05:00,0.0
2020-12-29_11:10:00,103.92
2020-12-29_11:15:00,100.32
2020-12-29_11:20:00,98.32
2020-12-29_11:25:00,96.08
2020-12-29_11:30:00,94.72
2020-12-29_11:35:00,93.36
