occurtime,power
2021-01-15_00:50:00,0.46
2021-01-15_00:55:00,0.5
2021-01-15_01:00:00,1765.6
2021-01-15_01:05:00,1691.68
2021-01-15_01:10:00,1712.72
2021-01-15_01:15:00,1771.12
2021-01-15_01:20:00,1762.88
2021-01-15_01:25:00,1760.72
2021-01-15_01:30:00,1777.28
2021-01-15_01:35:00,1752.8
2021-01-15_01:40:00,1738.4
2021-01-15_01:45:00,1776.48
2021-01-15_01:55:00,1766.08
2021-01-15_02:00:00,1746.48
2021-01-15_02:05:00,1784.72
2021-01-15_02:10:00,1802.32
2021-01-15_02:15:00,1764.16
2021-01-15_02:20:00,1740.56
2021-01-15_02:30:00,1759.68
2021-01-15_02:35:00,1758.4
2021-01-15_02:40:00,1729.36
2021-01-15_02:45:00,0.54
2021-01-15_02:50:00,0.58
2021-01-15_02:55:00,0.59
2021-01-15_03:00:00,0.46
2021-01-15_03:05:00,0.47
2021-01-15_03:10:00,0.51
2021-01-15_04:10:00,0.56
2021-01-15_04:15:00,0.55
2021-01-15_04:20:00,0.53
2021-01-15_04:25:00,0.54
2021-01-15_04:30:00,0.58
2021-01-15_05:00:00,3.44
2021-01-15_05:05:00,3.44
2021-01-15_05:10:00,3.44
2021-01-15_05:15:00,3.36
2021-01-15_05:20:00,3.44
2021-01-15_05:25:00,3.4
2021-01-15_05:30:00,3.44
2021-01-15_05:35:00,3.41
2021-01-15_05:40:00,3.39
2021-01-15_05:45:00,3.39
2021-01-15_05:50:00,3.41
2021-01-15_05:55:00,3.42
2021-01-15_06:00:00,3.44
2021-01-15_06:05:00,3.44
2021-01-15_06:10:00,3.44
2021-01-15_06:15:00,3.44
2021-01-15_06:20:00,3.44
2021-01-15_06:25:00,3.41
2021-01-15_06:30:00,3.36
2021-01-15_06:35:00,3.44
2021-01-15_06:40:00,3.42
2021-01-15_06:45:00,3.36
2021-01-15_06:50:00,3.42
2021-01-15_06:55:00,3.44
2021-01-15_07:00:00,3.44
2021-01-15_07:05:00,3.44
2021-01-15_07:10:00,3.44
2021-01-15_07:15:00,3.52
2021-01-15_07:20:00,3.44
2021-01-15_07:25:00,3.44
2021-01-15_07:30:00,3.44
2021-01-15_07:35:00,3.52
2021-01-15_07:40:00,3.44
2021-01-15_07:45:00,3.44
2021-01-15_07:50:00,3.44
2021-01-15_07:55:00,3.44
2021-01-15_08:00:00,3.44
2021-01-15_08:05:00,3.44
2021-01-15_08:10:00,3.44
2021-01-15_08:15:00,3.52
2021-01-15_08:20:00,3.44
2021-01-15_08:25:00,3.44
2021-01-15_08:30:00,3.44
2021-01-15_08:35:00,3.44
2021-01-15_08:40:00,3.41
2021-01-15_08:45:00,3.44
2021-01-15_08:50:00,3.44
2021-01-15_08:55:00,3.36
2021-01-15_09:00:00,3.44
2021-01-15_09:05:00,3.44
2021-01-15_09:10:00,3.44
2021-01-15_09:15:00,3.33
2021-01-15_09:20:00,3.44
2021-01-15_09:25:00,3.44
2021-01-15_09:30:00,3.44
2021-01-15_09:35:00,3.44
