occurtime,power
2020-12-09_07:55:00,130.24
2020-12-09_08:00:00,127.76
2020-12-09_08:05:00,124.96
2020-12-09_08:10:00,122.24
2020-12-09_08:15:00,0.0
2020-12-09_08:25:00,0.0
2020-12-09_08:30:00,139.52
2020-12-09_08:35:00,132.08
2020-12-09_08:40:00,128.56
2020-12-09_08:45:00,124.32
2020-12-09_08:50:00,124.88
2020-12-09_08:55:00,0.0
2020-12-09_09:00:00,0.0
2020-12-09_09:05:00,0.0
2020-12-09_09:10:00,135.68
2020-12-09_09:15:00,130.48
2020-12-09_09:20:00,125.28
2020-12-09_09:25:00,123.92
2020-12-09_09:30:00,0.0
2020-12-09_09:35:00,0.0
2020-12-09_09:40:00,0.0
2020-12-09_09:45:00,0.0
2020-12-09_09:50:00,131.36
2020-12-09_09:55:00,127.12
2020-12-09_10:00:00,125.76
2020-12-09_10:05:00,124.24
2020-12-09_10:10:00,0.0
2020-12-09_10:15:00,0.0
2020-12-09_10:20:00,0.0
2020-12-09_10:25:00,131.52
2020-12-09_10:30:00,128.56
2020-12-09_10:35:00,126.08
2020-12-09_10:40:00,124.08
2020-12-09_10:45:00,0.0
2020-12-09_10:50:00,0.0
2020-12-09_10:55:00,0.0
2020-12-09_11:00:00,156.08
2020-12-09_11:05:00,129.6
2020-12-09_11:10:00,126.64
2020-12-09_11:15:00,124.8
2020-12-09_11:20:00,0.0
2020-12-09_11:25:00,0.0
2020-12-09_11:30:00,0.0
2020-12-09_11:35:00,0.0
2020-12-09_11:40:00,131.6
2020-12-09_11:45:00,128.16
2020-12-09_11:50:00,125.12
2020-12-09_11:55:00,0.0
2020-12-09_12:00:00,0.0
2020-12-09_12:05:00,0.0
2020-12-09_12:10:00,0.0
2020-12-09_12:15:00,129.44
2020-12-09_12:20:00,124.88
2020-12-09_12:25:00,123.04
2020-12-09_12:30:00,121.84
2020-12-09_12:35:00,0.0
2020-12-09_12:40:00,0.0
2020-12-09_12:45:00,0.0
2020-12-09_12:50:00,124.32
2020-12-09_12:55:00,122.0
2020-12-09_13:00:00,119.92
2020-12-09_13:05:00,120.16
2020-12-09_13:10:00,0.0
2020-12-09_13:15:00,0.0
2020-12-09_13:20:00,12.88
2020-12-09_13:25:00,0.0
2020-12-09_13:30:00,128.48
2020-12-09_13:35:00,123.52
2020-12-09_13:40:00,123.04
2020-12-09_13:45:00,120.8
2020-12-09_13:50:00,0.0
2020-12-09_13:55:00,0.0
2020-12-09_14:00:00,0.0
2020-12-09_14:05:00,153.36
