occurtime,power
2021-01-15 00:50:00,0.46
2021-01-15 00:55:00,0.5
2021-01-15 01:00:00,1765.6
2021-01-15 01:05:00,1691.68
2021-01-15 01:10:00,1712.72
2021-01-15 01:15:00,1771.12
2021-01-15 01:20:00,1762.88
2021-01-15 01:25:00,1760.72
2021-01-15 01:30:00,1777.28
2021-01-15 01:35:00,1752.8
2021-01-15 01:40:00,1738.4
2021-01-15 01:45:00,1776.48
2021-01-15 01:55:00,1766.08
2021-01-15 02:00:00,1746.48
2021-01-15 02:05:00,1784.72
2021-01-15 02:10:00,1802.32
2021-01-15 02:15:00,1764.16
2021-01-15 02:20:00,1740.56
2021-01-15 02:30:00,1759.68
2021-01-15 02:35:00,1758.4
2021-01-15 02:40:00,1729.36
2021-01-15 02:45:00,0.54
2021-01-15 02:50:00,0.58
2021-01-15 02:55:00,0.59
2021-01-15 03:00:00,0.46
2021-01-15 03:05:00,0.47
2021-01-15 03:10:00,0.51
2021-01-15 04:10:00,0.56
2021-01-15 04:15:00,0.55
2021-01-15 04:20:00,0.53
2021-01-15 04:25:00,0.54
2021-01-15 04:30:00,0.58
2021-01-15 05:00:00,3.44
2021-01-15 05:05:00,3.44
2021-01-15 05:10:00,3.44
2021-01-15 05:15:00,3.36
2021-01-15 05:20:00,3.44
2021-01-15 05:25:00,3.4
2021-01-15 05:30:00,3.44
2021-01-15 05:35:00,3.41
2021-01-15 05:40:00,3.39
2021-01-15 05:45:00,3.39
2021-01-15 05:50:00,3.41
2021-01-15 05:55:00,3.42
2021-01-15 06:00:00,3.44
2021-01-15 06:05:00,3.44
2021-01-15 06:10:00,3.44
2021-01-15 06:15:00,3.44
2021-01-15 06:20:00,3.44
2021-01-15 06:25:00,3.41
2021-01-15 06:30:00,3.36
2021-01-15 06:35:00,3.44
2021-01-15 06:40:00,3.42
2021-01-15 06:45:00,3.36
2021-01-15 06:50:00,3.42
2021-01-15 06:55:00,3.44
2021-01-15 07:00:00,3.44
2021-01-15 07:05:00,3.44
2021-01-15 07:10:00,3.44
2021-01-15 07:15:00,3.52
2021-01-15 07:20:00,3.44
2021-01-15 07:25:00,3.44
2021-01-15 07:30:00,3.44
2021-01-15 07:35:00,3.52
2021-01-15 07:40:00,3.44
2021-01-15 07:45:00,3.44
2021-01-15 07:50:00,3.44
2021-01-15 07:55:00,3.44
2021-01-15 08:00:00,3.44
2021-01-15 08:05:00,3.44
2021-01-15 08:10:00,3.44
2021-01-15 08:15:00,3.52
2021-01-15 08:20:00,3.44
2021-01-15 08:25:00,3.44
2021-01-15 08:30:00,3.44
2021-01-15 08:35:00,3.44
2021-01-15 08:40:00,3.41
2021-01-15 08:45:00,3.44
2021-01-15 08:50:00,3.44
2021-01-15 08:55:00,3.36
2021-01-15 09:00:00,3.44
2021-01-15 09:05:00,3.44
2021-01-15 09:10:00,3.44
2021-01-15 09:15:00,3.33
2021-01-15 09:20:00,3.44
2021-01-15 09:25:00,3.44
2021-01-15 09:30:00,3.44
2021-01-15 09:35:00,3.44
